Id,X1,X2
1,64.73313385,29.72285402
2,50.264609,25.60101229
3,61.32720581,33.18733796
4,66.9243694,28.02176538
5,59.16807413,25.75323716
6,46.80512938,16.2301974
7,48.35699746,21.10693145
8,54.93572148,22.088556
9,54.94168897,24.98980049
10,65.96379552,40.1965485
11,59.52324595,28.97163778
12,49.89460622,21.14941633
13,55.67962907,12.90032031
14,57.57878816,19.97465053
15,55.38324362,21.67647061
16,54.67132767,21.13069216
17,54.94938561,27.5782217
18,52.71375514,17.90380933
19,56.31726287,28.30197113
20,46.49418389,19.52660519
21,58.3840309,19.97019246
22,54.64609959,29.08577143
23,54.95606406,26.37704428
24,57.4993461,31.039132
25,52.46036933,26.5076499
26,58.91141533,26.85842465
27,56.72138566,34.50888576
28,51.10125467,21.24696443
29,47.29629816,18.39571524
30,51.91595491,27.99825891
31,53.6698227,23.71987473
32,51.29566677,22.57674867
33,51.45132072,23.55121894
34,54.13659792,19.17578378
35,59.85304225,28.33072528
36,60.4644982,32.10549211
37,60.26552582,30.66191688
38,51.12412799,23.85764309
39,60.62613155,32.84187223
40,56.25034862,21.16544462
41,63.62842334,35.60642896
42,58.1508209,28.05662741
43,57.59475505,18.31895194
44,49.21937202,21.37073728
45,51.53828738,16.1051862
46,54.01439345,15.09086698
47,44.75167184,17.67394037
48,60.74502185,31.92203594
49,58.17326192,30.76683013
50,52.70877375,24.59200647
51,53.81912748,28.64475039
52,51.00568925,24.48587815
53,70.06504855,37.20354717
54,52.49396669,19.05536269
55,56.57867434,23.15386849
56,59.94657262,23.46056739
57,57.17740841,29.43291072
58,56.09562683,22.36564647
59,43.88921102,11.74187496
60,47.57362672,18.37941574
61,58.97685277,25.34766293
62,55.03360131,24.86136403
63,47.81953594,21.42602895
64,53.86032513,24.76940109
65,54.54626179,17.17545927
66,58.98929836,24.16611346
67,44.49724252,19.27732816
68,57.03111824,27.0153204
69,58.24595775,24.83735202
70,51.44910592,28.56767025
71,58.45278023,22.36206198
72,54.97728179,27.60679551
73,52.46407835,20.55156406
74,53.94989688,24.6623433
75,62.03280478,25.91399897
76,56.91093942,34.50635966
77,55.36417105,26.1474274
78,51.85629202,26.39292169
79,51.47180651,18.71933356
80,53.22619364,11.99570393
81,47.45860324,23.16576863
82,61.03685607,32.66385543
83,58.45636696,29.93224781
84,57.59304173,20.66644413
85,50.56427244,24.36391335
86,54.11792642,21.5092508
87,63.96210803,27.67998665
88,53.01846586,23.85084228
89,59.51043912,33.93468634
90,57.80451666,29.20474961
91,62.60226776,31.83541574
92,48.27738064,21.72842881
93,58.89119516,21.89417363
94,50.66980577,19.69057597
95,51.0142935,34.26435034
96,52.95061733,27.88414758
97,57.29831207,20.27788165
98,59.85061626,35.66699434
99,55.88730705,26.57593812
100,60.01572183,30.91079468
101,55.04848768,32.8237689
102,52.340227,19.36809068
103,52.96769986,20.4707923
104,59.69748177,21.61746575
105,51.89248624,16.17873955
106,58.0388979,28.30902706
107,48.48777202,17.45766077
108,64.46021483,33.59235397
109,50.41522586,23.72287858
110,63.5271594,34.88881237
111,53.80716163,21.82899033
112,51.51783552,18.07595382
113,52.42067538,27.36982762
114,58.6220442,22.30696619
115,48.38888785,13.52144113
