1,58,3885,314,12,839,14.5,2.6,533,12.1,0.2,38,6,22.1,412,2,1,6207,0,0,246,126,0
2,57,3782,306,12,822,14.4,2.7,532,12.3,0.2,37,6,22.2,398,2,1,6063,0,0,237,123,0
3,57,3782,306,12,822,14.4,2.7,532,12.3,0.2,37,6,22.2,398,2,1,6063,0,0,237,123,0
4,63,4708,456,210,991,15.7,2.1,2827,37.5,1.9,61,10,16.2,789,8,3,10880,0,2,553,229,0
5,61,4519,441,210,955,15.7,2.1,2799,38.2,2,60,10,15.9,784,8,3,10595,0,2,545,232,0
6,63,4680,456,210,989,15.7,2.1,2823,37.6,1.9,61,10,16.2,789,8,3,10839,0,2,553,229,0
7,63,6106,396,141,1274,20.2,3.2,180,2.9,1.9,48,9,26.5,493,9,7,7526,0,1,201,287,0
8,344,15498,1474,809,3201,9.3,2.2,7539,32.7,2.1,208,16,15.4,1241,47,7,38770,1,0,920,258,0
9,356,17372,1546,809,3530,9.9,2.3,8104,31.8,1.9,219,18,16.1,1791,47,7,41727,1,19,1345,358,0
10,356,17348,1547,809,3523,9.9,2.3,8057,31.7,1.9,219,18,16.1,1761,47,7,41645,1,19,1319,354,0
11,85,6265,464,274,1246,14.7,2.7,313,4.8,3.5,57,11,21.9,735,17,4,7836,0,9,397,313,0
12,24,2375,159,51,348,14.5,2.1,227,8.7,1.6,24,6,14.5,570,2,1,3279,0,1,462,106,0
13,56,5091,388,36,1080,19.3,2.8,418,7.6,0.6,33,9,32.7,702,2,2,6528,1,13,450,227,0
14,56,5039,384,36,1067,19.1,2.8,415,7.6,0.6,33,9,32.3,701,2,2,6457,1,12,455,223,0
15,27,3072,191,78,763,28.3,3.9,286,8.5,1.9,19,2,40.2,896,4,3,4075,0,3,433,451,0
16,27,3069,191,78,762,28.2,3.9,287,8.6,1.9,19,2,40.1,899,4,3,4072,0,3,433,454,0
17,27,3065,191,78,760,28.1,3.9,287,8.6,1.9,19,2,40,897,4,3,4068,0,3,432,453,0
18,151,13852,778,851,2893,19.2,3.6,1160,7.7,4.4,103,15,28.1,2678,71,19,19382,0,69,2177,429,0
19,57,4882,402,75,1127,19.8,2.7,644,11.7,1.1,30,9,37.6,519,2,1,6981,0,6,283,224,0
20,62,4932,396,75,1113,18,2.7,683,12.2,1,34,10,32.7,452,2,1,7803,0,6,241,200,0
21,57,4905,405,75,1133,19.9,2.7,649,11.7,1.1,30,9,37.8,510,2,1,7015,0,6,285,213,0
